"user"	"date"	"oclc"	"name"	"state"	"ids"	"turn"	"status"	"distance"
"barhydtk"	"2014-05-26"	"OBE"	"OBERLIN COL LIBRARY"	"OH"	false	"10"	"Staff"	"438"
"barhydtk"	"2016-08-17"	"YQR"	"ROCHESTER PUB LIBRARY"	"NY"	false	"11"	"Staff"	"186"
"barhydtk"	"2016-06-01"	"NAM"	"SUNY at ALBANY"	"NY"	true	"5"	"Staff"	"10"
"barhydtk"	"2017-03-13"	"COC"	"COLORADO COLLEGE"	"CO"	false	"9"	"Staff"	"0"
"barretta"	"2015-06-15"	"CTL"	"CONNECTICUT COLLEGE"	"CT"	false	"5"	"NA"	"136"
"barretta"	"2015-06-15"	"MIQ"	"MILLS COLLEGE"	"CA"	false	"3"	"NA"	"0"
"barrosm"	"2017-03-27"	"OBE"	"OBERLIN COL LIBRARY"	"OH"	false	"7"	"Student"	"438"
"barrosm"	"2017-03-20"	"VZS"	"SKIDMORE COLLEGE"	"NY"	false	"3"	"Student"	"21"
"barrp"	"2014-05-05"	"OBE"	"OBERLIN COL LIBRARY"	"OH"	false	"9"	"Student"	"438"
"barrp"	"2014-05-05"	"MTH"	"MOUNT HOLYOKE COLLEGE"	"MA"	false	"12"	"Student"	"79"
"barrp"	"2014-04-16"	"NAM"	"SUNY at ALBANY"	"NY"	true	"5"	"Student"	"10"
"bathaa"	"2017-03-13"	"OBE"	"OBERLIN COL LIBRARY"	"OH"	false	"7"	"Student"	"438"
"bathaa"	"2016-10-11"	"KEN"	"KENYON COL LIBRARY"	"OH"	false	"11"	"Student"	"469"
"batran"	"2014-11-11"	"JNA"	"NORTHERN ILLINOIS UNIVERSITY"	"IL"	false	"9"	"Student"	"0"
"bealek"	"2014-01-08"	"DRU"	"DREW UNIV LIBRARY"	"NJ"	false	"6"	"Student"	"144"
"bechtolc"	"2017-06-29"	"GDC"	"GETTYSBURG COLLEGE"	"PA"	false	"4"	"Student"	"268"
"bedfordp"	"2017-10-04"	"ZCU"	"COLUMBIA UNIVERSITY"	"NY"	false	"2"	"Faculty"	"139"
"bedfordp"	"2014-06-04"	"MDY"	"MIDDLEBURY COLLEGE"	"VT"	true	"7"	"Faculty"	"91"
"bedfordp"	"2015-12-11"	"BNG"	"STATE UNIVERSITY of NEW YORK, BINGHAMTON LIBRARY"	"NY"	true	"9"	"Faculty"	"116"
"belzb"	"2013-10-10"	"LFM"	"FRANKLIN & MARSHALL COLLEGE"	"PA"	false	"10"	"Faculty"	"228"
"belzb"	"2016-04-26"	"COD"	"UNIVERSITY of COLORADO at BOULDER"	"CO"	false	"10"	"Faculty"	"0"
"belzb"	"2014-10-24"	"SNN"	"SMITH COLLEGE"	"MA"	false	"13"	"Faculty"	"74"
"belzb"	"2014-04-18"	"COO"	"CORNELL UNIVERSITY"	"NY"	false	"14"	"Faculty"	"133"
"belzb"	"2017-04-28"	"WIB"	"LAWRENCE UNIVERSITY"	"WI"	false	"10"	"Faculty"	"731"
"belzb"	"2013-10-21"	"PBU"	"BUCKNELL UNIVERSITY"	"PA"	false	"5"	"Faculty"	"199"
"bendixc"	"2016-11-04"	"VVC"	"COLGATE UNIVERSITY"	"NY"	true	"4"	"Student"	"81"
"bennettm"	"2015-03-17"	"ORE"	"OREGON STATE UNIV, CORVALLIS"	"OR"	false	"9"	"Student"	"2431"
"bergendk"	"2014-11-04"	"OBE"	"OBERLIN COL LIBRARY"	"OH"	false	"6"	"Student"	"438"
"bergendk"	"2014-11-26"	"VKM"	"SIENA COLLEGE"	"NY"	false	"3"	"Student"	"11"
"bichunsm"	"2014-05-23"	"SNN"	"SMITH COLLEGE"	"MA"	false	"7"	"Student"	"74"
"bichunsm"	"2014-05-19"	"NAM"	"SUNY at ALBANY"	"NY"	true	"3"	"Student"	"10"
"bidoshik"	"2015-06-02"	"VTU"	"UNIVERSITY of VERMONT, BAILEY LIBRARY"	"VT"	false	"5"	"Faculty"	"0"
"bidoshik"	"2015-03-13"	"LAF"	"LAFAYETTE COLLEGE"	"PA"	false	"6"	"Faculty"	"161"
"bidoshik"	"2015-04-02"	"GZQ"	"MARQUETTE UNIV RAYNOR MEMORIAL LIBRARY"	"WI"	false	"12"	"Faculty"	"708"
"bidoshik"	"2017-05-18"	"XIM"	"ITHACA COLLEGE"	"NY"	true	"10"	"Faculty"	"0"
"bidoshik"	"2015-11-17"	"YUS"	"YALE UNIV LIBRARY"	"CT"	false	"6"	"Faculty"	"116"
"bidoshik"	"2017-05-18"	"NAM"	"SUNY at ALBANY"	"NY"	true	"4"	"Faculty"	"10"
"bidoshik"	"2015-11-17"	"DKB"	"DET KONGELIGE BIBLIOTEK, THE ROYAL LIBRARY"	"EU"	false	"11"	"Faculty"	"0"
"bidoshik"	"2015-03-13"	"WLU"	"WESLEYAN UNIVERSITY"	"CT"	false	"11"	"Faculty"	"109"
"bidoshik"	"2015-01-19"	"MNN"	"CARLETON COLLEGE"	"MN"	false	"12"	"Faculty"	"966"
"bidoshik"	"2017-05-02"	"WLU"	"WESLEYAN UNIVERSITY"	"CT"	false	"10"	"Faculty"	"109"
